date,fear_greed_value
2007-01-05,0
2007-01-06,0
2007-01-07,0
2007-01-08,0
2007-01-09,0
2007-01-10,0
2007-01-11,77.4272277109
2007-01-12,78.21981266287084
2007-01-13,79.01239761484166
2007-01-14,79.8049825668125
2007-01-15,80.59756751878334
2007-01-16,81.39015247075416
2007-01-17,82.182737422725
2007-01-18,82.97532237469584
2007-01-19,83.76790732666666
2007-01-20,84.5604922786375
2007-01-21,85.35307723060833
2007-01-22,86.14566218257916
2007-01-23,86.93824713455
2007-01-24,87.73083208652083
2007-01-25,88.52341703849166
2007-01-26,89.3160019904625
2007-01-27,90.10858694243333
2007-01-28,90.90117189440416
2007-01-29,91.693756846375
2007-01-30,92.48634179834583
2007-01-31,93.27892675031666
2007-02-01,94.0715117022875
2007-02-02,94.86409665425833
2007-02-03,95.65668160622916
2007-02-04,96.4492665582
2007-02-05,96.4492665582
2007-02-06,106.293115755
2007-02-07,106.293115755
2007-02-08,100.717497407
2007-02-09,101.91251514468888
2007-02-10,103.10753288237777
2007-02-11,104.30255062006665
2007-02-12,105.49756835775555
2007-02-13,106.69258609544444
2007-02-14,107.88760383313333
2007-02-15,109.08262157082221
2007-02-16,110.2776393085111
2007-02-17,111.4726570462
2007-02-18,112.66767478388888
2007-02-19,113.86269252157777
2007-02-20,115.05771025926666
2007-02-21,116.25272799695554
2007-02-22,117.44774573464443
2007-02-23,118.64276347233331
2007-02-24,119.83778121002221
2007-02-25,121.0327989477111
2007-02-26,122.22781668539999
2007-02-27,79.2071781286
2007-02-28,81.0700104127
2007-03-01,82.93284269680001
2007-03-02,84.7956749809
2007-03-03,86.65850726500001
2007-03-04,88.5213395491
2007-03-05,69.8930167081
2007-03-06,79.06952219820002
2007-03-07,60.716511218
2007-03-08,33.3861790417
2007-03-09,33.900825591348145
2007-03-10,34.41547214099629
2007-03-11,34.93011869064444
2007-03-12,35.44476524029259
2007-03-13,35.95941178994074
2007-03-14,36.474058339588886
2007-03-15,36.988704889237034
2007-03-16,37.50335143888518
2007-03-17,38.01799798853333
2007-03-18,38.53264453818148
2007-03-19,39.04729108782963
2007-03-20,39.561937637477776
2007-03-21,40.076584187125924
2007-03-22,40.59123073677407
2007-03-23,41.10587728642222
2007-03-24,41.62052383607037
2007-03-25,42.13517038571852
2007-03-26,42.649816935366665
2007-03-27,43.164463485014814
2007-03-28,43.67911003466296
2007-03-29,44.19375658431111
2007-03-30,44.70840313395926
2007-03-31,45.22304968360741
2007-04-01,45.737696233255555
2007-04-02,46.2523427829037
2007-04-03,46.76698933255185
2007-04-04,47.2816358822
2007-04-05,47.2816358822
2007-04-06,49.1873421918
2007-04-07,51.0930485014
2007-04-08,52.998754811
2007-04-09,52.998754811
2007-04-10,58.9210980912
2007-04-11,59.62123733347693
2007-04-12,60.321376575753845
2007-04-13,61.02151581803077
2007-04-14,61.7216550603077
2007-04-15,62.421794302584615
2007-04-16,63.12193354486154
2007-04-17,63.82207278713847
2007-04-18,64.52221202941539
2007-04-19,65.2223512716923
2007-04-20,65.92249051396924
2007-04-21,66.62262975624616
2007-04-22,67.32276899852309
2007-04-23,68.0229082408
2007-04-24,68.72304748307693
2007-04-25,69.42318672535384
2007-04-26,70.12332596763078
